cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,328,1,0.00,0.22838,0.50705,-0.12072,0.23344
1,249,1,0.00,0.26061,0.53746,-0.14681,0.28231
2,256,19,0.07,0.19600,0.50545,-0.15658,0.21054
3,333,55,0.17,0.26161,0.54644,-0.02166,0.25871
4,230,2,0.01,0.28024,0.54461,-0.04280,0.28938
5,192,0,0.00,0.33518,0.58443,0.02106,0.34509
6,380,5,0.01,0.30096,0.54174,-0.05334,0.33099
7,387,13,0.03,0.31237,0.54435,-0.05160,0.34415
8,285,1,0.00,0.35213,0.58968,-0.01042,0.39041
